age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
44,Private,188147,10th,6,Never-married,Other-service,Other-relative,Black,Female,21,0,37,United-States,<=50K
21,Private,215728,11th,7,Never-married,Prof-specialty,Other-relative,White,Female,0,1,40,United-States,<=50K
24,Self-emp-not-inc,175721,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,0,40,India,<=50K
44,State-gov,81761,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,11,0,61,United-States,>50K
46,Local-gov,57109,Some-college,10,Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,29,0,40,United-States,<=50K
24,Private,227872,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Other,Female,0,2,40,United-States,>50K
38,Private,296179,9th,4,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,21,0,40,United-States,<=50K
37,Private,106170,HS-grad,9,Separated,Craft-repair,Unmarried,White,Female,9,0,50,United-States,<=50K
39,Private,151119,Prof-school,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,18,0,40,Jamaica,<=50K
38,Private,188070,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,8,0,49,United-States,<=50K
44,Local-gov,298997,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,15,0,50,United-States,<=50K
32,Private,132309,Some-college,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,32,0,40,?,<=50K
30,?,161840,5th-6th,4,Never-married,Exec-managerial,Not-in-family,White,Male,19,0,34,England,<=50K
58,Private,148400,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7957,0,49,United-States,>50K
42,Private,184970,Some-college,5,Separated,Other-service,Other-relative,White,Female,25,0,36,Peru,<=50K
33,Self-emp-not-inc,191784,12th,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,8,1,51,China,>50K
34,Private,232350,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3880,1,40,United-States,>50K
25,Private,40951,11th,4,Married-civ-spouse,Adm-clerical,Wife,White,Female,13,0,34,United-States,<=50K
28,Private,189682,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,20,0,40,United-States,<=50K
42,Federal-gov,210713,10th,4,Never-married,Other-service,Not-in-family,Black,Female,21,0,40,United-States,<=50K
27,Private,191890,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,33,0,40,United-States,<=50K
34,Self-emp-not-inc,252509,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,45,United-States,>50K
37,?,19956,Doctorate,16,Never-married,Prof-specialty,Unmarried,White,Female,15270,1,40,United-States,<=50K
22,Private,451667,Bachelors,13,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,9,2061,40,Taiwan,<=50K
58,Self-emp-not-inc,85048,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15336,0,50,United-States,>50K
52,Private,227521,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,20,1,32,Trinadad&Tobago,<=50K
29,Private,197237,Some-college,10,Never-married,Sales,Not-in-family,White,Male,43,0,40,United-States,<=50K
36,Private,220986,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,15,0,50,United-States,>50K
33,Private,176537,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Female,0,0,40,United-States,<=50K
49,Private,193743,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,34,0,35,Jamaica,<=50K
23,Private,73781,Some-college,10,Never-married,Sales,Not-in-family,Black,Female,0,0,50,Jamaica,<=50K
23,Private,38207,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,7,0,19,United-States,<=50K
60,Self-emp-not-inc,114839,7th-8th,4,Widowed,Farming-fishing,Not-in-family,White,Male,48,0,40,United-States,<=50K
29,Private,105760,10th,6,Widowed,Other-service,Own-child,White,Female,62,0,33,United-States,<=50K
21,Private,167855,HS-grad,9,Never-married,?,Not-in-family,White,Female,9,0,10,United-States,<=50K
52,Local-gov,276495,Masters,14,Married-civ-spouse,Protective-serv,Husband,Black,Male,27,0,40,United-States,<=50K
38,Federal-gov,50989,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,11,0,40,United-States,<=50K
71,Self-emp-not-inc,161235,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,6,0,50,United-States,<=50K
34,Local-gov,348291,Masters,14,Never-married,Protective-serv,Not-in-family,White,Male,35,0,40,United-States,<=50K
34,Private,67302,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,27,0,40,Mexico,<=50K
18,?,102948,HS-grad,9,Never-married,?,Not-in-family,White,Male,16,0,31,United-States,<=50K
50,Private,292126,Assoc-voc,12,Divorced,Prof-specialty,Not-in-family,White,Female,8,1,40,United-States,<=50K
36,Private,42625,Some-college,10,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,37,0,40,Trinadad&Tobago,<=50K
49,Local-gov,52632,Masters,14,Never-married,Exec-managerial,Wife,Black,Male,23,1,40,Greece,>50K
39,Private,32422,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,56,United-States,<=50K
45,Local-gov,25660,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7750,1,49,United-States,>50K
25,Private,279303,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,1,40,Mexico,<=50K
64,Private,179699,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,24,0,40,United-States,<=50K
20,Private,61692,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,49,United-States,<=50K
31,Self-emp-not-inc,153267,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,70,United-States,>50K
46,Private,194342,HS-grad,9,Never-married,Machine-op-inspct,Wife,White,Male,7,0,40,United-States,<=50K
31,Private,213978,Assoc-voc,11,Married-civ-spouse,Sales,Own-child,White,Male,19,1,40,United-States,<=50K
23,Private,148576,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,Taiwan,<=50K
51,?,372022,Bachelors,13,Married-AF-spouse,?,Wife,White,Female,15,0,40,Canada,<=50K
24,Private,194868,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,19,0,40,?,<=50K
53,Private,89456,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,18,0,40,United-States,<=50K
54,Private,178626,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7586,0,40,United-States,<=50K
26,Private,121926,11th,7,Separated,Machine-op-inspct,Own-child,White,Female,38,0,40,United-States,<=50K
20,?,308941,10th,7,Separated,?,Not-in-family,White,Female,24,0,37,United-States,<=50K
47,Self-emp-inc,224056,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,51,0,49,United-States,>50K
51,Private,263956,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,2,0,40,Trinadad&Tobago,>50K
53,Local-gov,71606,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,United-States,>50K
43,?,401089,Some-college,10,Never-married,?,Not-in-family,Amer-Indian-Eskimo,Male,4390,0,9,United-States,<=50K
37,Self-emp-inc,250409,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,22,0,40,?,>50K
58,Private,51655,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,3149,0,40,United-States,<=50K
51,Federal-gov,269974,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4104,1,40,United-States,>50K
46,Private,285590,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,13,0,40,United-States,<=50K
27,Private,397890,Some-college,10,Divorced,Adm-clerical,Other-relative,Other,Female,14,0,40,?,<=50K
41,Private,201200,HS-grad,9,Never-married,Sales,Unmarried,Black,Male,19,0,40,?,<=50K
61,Private,62039,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,12,0,40,United-States,<=50K
38,Private,205483,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,11,0,40,United-States,<=50K
45,Local-gov,124010,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
57,Private,198545,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,49,United-States,<=50K
55,Self-emp-not-inc,176903,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,36,United-States,<=50K
44,Self-emp-not-inc,119016,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3852,0,40,United-States,>50K
50,State-gov,31651,Prof-school,16,Never-married,Prof-specialty,Not-in-family,White,Female,20,1,50,United-States,<=50K
24,Private,199203,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,59,0,40,United-States,<=50K
61,Self-emp-inc,31394,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,16028,2,40,India,>50K
50,Federal-gov,113424,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7605,0,40,United-States,>50K
39,Self-emp-not-inc,43013,Some-college,10,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,14,1763,40,United-States,<=50K
62,Private,88099,10th,6,Never-married,Machine-op-inspct,Other-relative,White,Female,9,0,32,United-States,<=50K
35,Self-emp-inc,35041,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Greece,<=50K
69,Private,199985,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15,0,31,Taiwan,<=50K
46,Local-gov,142702,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7787,1,50,United-States,>50K
21,Private,194926,11th,7,Never-married,Other-service,Not-in-family,White,Female,34,0,19,United-States,<=50K
34,Self-emp-not-inc,360040,Bachelors,13,Married-spouse-absent,Sales,Not-in-family,Black,Male,0,1,40,Portugal,<=50K
51,Private,106383,1st-4th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,7643,0,40,United-States,<=50K
55,Local-gov,214605,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,0,50,United-States,>50K
49,Private,90189,Assoc-acdm,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,5,0,50,United-States,<=50K
32,Private,31013,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,22,1,50,United-States,<=50K
46,Private,221341,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,17,0,34,United-States,<=50K
48,?,175211,HS-grad,9,Married-civ-spouse,?,Own-child,White,Male,24,1,61,United-States,<=50K
39,Self-emp-not-inc,99882,HS-grad,9,Separated,Farming-fishing,Not-in-family,White,Female,13,0,50,United-States,<=50K
47,Private,330023,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,22,0,40,United-States,<=50K
58,Self-emp-not-inc,43835,7th-8th,4,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,33,1,36,United-States,<=50K
30,Private,51458,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,14,0,37,Taiwan,<=50K
71,?,134126,Some-college,10,Separated,?,Not-in-family,Asian-Pac-Islander,Female,3745,0,40,United-States,<=50K
34,Private,214319,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,22,1,40,United-States,>50K
47,Private,200642,Bachelors,13,Married-spouse-absent,Sales,Other-relative,White,Female,0,0,40,Mexico,<=50K
62,Self-emp-not-inc,200991,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,4064,0,40,United-States,<=50K
22,?,119231,Some-college,10,Never-married,?,Own-child,White,Female,0,0,12,United-States,<=50K
43,Private,201216,11th,7,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,19,0,40,United-States,<=50K
39,?,157872,HS-grad,9,Married-AF-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
60,Private,105504,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,0,40,?,<=50K
28,Private,105879,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,20,0,40,United-States,<=50K
29,Private,32708,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,State-gov,143659,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
68,Local-gov,53859,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,28,0,40,United-States,<=50K
33,Self-emp-not-inc,277738,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,11,0,50,Vietnam,<=50K
22,Self-emp-not-inc,323380,11th,4,Never-married,Farming-fishing,Own-child,White,Male,22,0,37,United-States,<=50K
66,Self-emp-not-inc,248287,Some-college,10,Never-married,Farming-fishing,Unmarried,White,Male,3,0,40,United-States,<=50K
45,?,203928,9th,4,Never-married,?,Not-in-family,White,Male,37,0,40,United-States,<=50K
76,Private,97310,5th-6th,4,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,35,0,40,Taiwan,<=50K
35,Private,217655,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,19,0,40,Greece,>50K
37,Private,187571,10th,6,Divorced,Machine-op-inspct,Unmarried,White,Female,15,1,7,United-States,<=50K
58,Private,156068,10th,6,Never-married,Transport-moving,Not-in-family,White,Female,35,0,49,United-States,<=50K
34,Private,105542,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,3,0,15,United-States,<=50K
28,Self-emp-inc,169209,Prof-school,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,20,0,40,?,<=50K
44,Private,158614,HS-grad,9,Divorced,?,Not-in-family,White,Female,30,0,40,United-States,<=50K
58,Private,223250,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,9,0,34,United-States,<=50K
62,Private,151572,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,17,0,40,United-States,<=50K
34,Self-emp-not-inc,35349,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,7707,0,40,United-States,<=50K
28,Private,140658,Bachelors,13,Widowed,Adm-clerical,Unmarried,White,Female,9,0,40,United-States,<=50K
32,Private,229379,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,10,0,50,United-States,>50K
39,Self-emp-not-inc,271420,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,2134,49,United-States,>50K
47,Private,89208,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,7,0,40,United-States,<=50K
50,Self-emp-not-inc,245955,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,7875,0,45,United-States,<=50K
50,Local-gov,164976,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,35,0,40,United-States,<=50K
29,Private,186022,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,25,0,37,United-States,<=50K
39,Local-gov,176422,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Female,20,0,50,United-States,>50K
37,Private,364678,5th-6th,3,Never-married,Other-service,Not-in-family,White,Female,10,1,50,Mexico,<=50K
65,?,98414,Some-college,10,Married-AF-spouse,?,Wife,White,Female,1,0,12,United-States,<=50K
21,Private,88922,12th,7,Never-married,Other-service,Not-in-family,White,Female,35,0,36,United-States,<=50K
20,?,109171,Some-college,10,Never-married,?,Own-child,White,Female,19,0,40,United-States,<=50K
65,Local-gov,190257,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,1,50,United-States,>50K
53,Federal-gov,111368,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7800,0,59,United-States,>50K
34,Without-pay,234716,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,14,United-States,<=50K
24,Private,184555,HS-grad,9,Never-married,Sales,Own-child,White,Male,4,0,58,United-States,<=50K
50,Private,76338,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,7,0,38,Cambodia,<=50K
29,Private,85406,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,36,0,35,Hungary,<=50K
19,Private,207407,5th-6th,7,Never-married,Priv-house-serv,Own-child,White,Male,6,0,40,United-States,<=50K
31,Private,227322,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,30,0,6,United-States,<=50K
28,Private,166066,Some-college,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,208166,HS-grad,10,Never-married,Other-service,Own-child,White,Male,44,0,40,United-States,<=50K
33,Self-emp-not-inc,129020,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,23,1,50,United-States,>50K
21,Private,188413,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,13,0,17,United-States,<=50K
26,Private,165552,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,14,0,23,Taiwan,<=50K
17,Private,102783,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,27,0,36,United-States,<=50K
24,State-gov,85785,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,1,40,United-States,<=50K
72,Self-emp-inc,195543,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,11,0,58,United-States,<=50K
41,Private,166822,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,14,0,40,United-States,<=50K
55,Private,200733,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
38,Local-gov,173230,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,12,0,30,United-States,<=50K
57,Private,381319,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,35,0,40,United-States,<=50K
29,Self-emp-not-inc,278191,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7724,0,50,United-States,>50K
44,Self-emp-not-inc,177936,Doctorate,4,Separated,Prof-specialty,Not-in-family,White,Female,17,0,14,United-States,<=50K
48,Local-gov,395144,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,7,0,31,United-States,<=50K
30,Federal-gov,143050,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1,35,United-States,>50K
67,Local-gov,282262,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,3,0,33,United-States,<=50K
28,Private,154954,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
23,Private,352991,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,4,0,40,United-States,<=50K
40,Private,210515,HS-grad,9,Never-married,?,Unmarried,White,Female,13,0,22,United-States,<=50K
50,Private,126372,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,8057,1,51,United-States,>50K
42,Private,149391,10th,6,Married-spouse-absent,Transport-moving,Unmarried,White,Female,29,0,37,United-States,<=50K
48,Local-gov,246792,10th,6,Divorced,Craft-repair,Not-in-family,White,Female,27,0,40,United-States,<=50K
49,Self-emp-inc,208273,Some-college,10,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,40,Taiwan,<=50K
27,Private,110106,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,34,0,40,Trinadad&Tobago,<=50K
19,Private,97434,9th,4,Never-married,Machine-op-inspct,Own-child,White,Female,7,0,40,Trinadad&Tobago,<=50K
44,Self-emp-inc,220938,Doctorate,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15313,0,40,?,>50K
67,Local-gov,52850,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,0,40,United-States,>50K
45,Private,287435,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,27,1,59,United-States,>50K
46,Private,160935,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7923,0,40,United-States,>50K
43,Private,258810,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15141,0,35,United-States,>50K
66,Private,96737,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,9,0,40,United-States,<=50K
46,Private,190706,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,60,United-States,<=50K
44,Private,186086,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,9,1,34,United-States,>50K
68,?,33210,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Federal-gov,98934,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,21,1,40,Philippines,<=50K
19,Private,117254,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,23,0,20,United-States,<=50K
26,Private,174648,HS-grad,9,Separated,Prof-specialty,Not-in-family,Black,Female,27,0,40,United-States,<=50K
67,Self-emp-not-inc,35449,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,2,0,40,United-States,<=50K
26,Private,168054,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,17,0,40,United-States,<=50K
27,Private,212569,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,23,1,50,United-States,>50K
48,Self-emp-inc,147101,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,32,0,40,United-States,>50K
47,Private,206746,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,13,0,50,United-States,<=50K
50,Local-gov,266013,Some-college,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4071,0,49,United-States,>50K
28,?,169022,HS-grad,9,Never-married,?,Not-in-family,White,Female,36,0,23,United-States,<=50K
38,?,46559,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,20,0,50,United-States,<=50K
23,Federal-gov,178952,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
