age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
55,Private,201931,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Local-gov,71491,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
19,Private,222123,10th,5,Never-married,Other-service,Own-child,White,Female,0,0,23,United-States,<=50K
19,Private,126952,Assoc-voc,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
49,Private,156749,Doctorate,8,Never-married,Adm-clerical,Unmarried,Black,Female,2,0,40,United-States,<=50K
36,Private,151773,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,2,0,40,United-States,>50K
35,Private,69154,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
68,Private,136001,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,0,40,United-States,<=50K
31,Private,206548,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,<=50K
20,Private,144128,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,150190,Some-college,10,Never-married,Other-service,Own-child,White,Male,3,0,40,United-States,<=50K
31,Private,118273,11th,7,Never-married,Other-service,Not-in-family,White,Male,1,0,40,United-States,<=50K
31,Private,124204,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,40,United-States,<=50K
29,Private,195305,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
55,Self-emp-inc,30876,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,50,United-States,>50K
45,Private,212647,HS-grad,9,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,3,0,40,United-States,<=50K
51,Private,118397,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
34,Private,118235,9th,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,209913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,1,0,24,United-States,<=50K
21,Private,101657,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,1,0,49,United-States,<=50K
56,Private,192597,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,40,United-States,<=50K
34,Self-emp-not-inc,99155,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,1,0,40,United-States,<=50K
52,Local-gov,92392,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,3,0,40,United-States,>50K
57,Private,207889,9th,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
59,Private,101722,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3,0,40,United-States,<=50K
38,Private,81973,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,4,1692,36,United-States,<=50K
43,Private,127608,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,1,0,40,United-States,<=50K
42,Private,167791,Some-college,10,Never-married,Machine-op-inspct,Unmarried,White,Female,7,0,40,United-States,<=50K
32,Private,143306,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
26,Private,198686,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,1,40,United-States,<=50K
23,Private,242213,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,<=50K
60,Private,324650,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1927,40,United-States,>50K
24,Private,132438,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
33,Private,76799,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3,0,40,United-States,<=50K
22,Private,308413,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,19,United-States,<=50K
33,Private,188041,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
52,Private,118062,10th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,>50K
36,Self-emp-not-inc,98843,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,<=50K
23,Private,186086,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,21,United-States,<=50K
44,Private,167761,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,60,United-States,<=50K
45,Private,63860,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,40,United-States,>50K
33,Private,144568,Bachelors,13,Separated,Sales,Not-in-family,White,Male,2,0,40,United-States,<=50K
65,?,119455,5th-6th,4,Married-civ-spouse,?,Not-in-family,White,Male,3,0,15,United-States,<=50K
80,?,114021,HS-grad,9,Widowed,Adm-clerical,Husband,White,Male,3,1987,40,United-States,<=50K
34,Private,121738,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,197745,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
43,Private,223668,Bachelors,13,Separated,Machine-op-inspct,Not-in-family,White,Female,1,0,40,United-States,<=50K
19,Private,86135,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,3598,0,40,Philippines,<=50K
26,Private,214543,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,1,0,40,United-States,<=50K
33,Private,88207,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
28,?,337516,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Private,197692,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,15345,0,40,United-States,>50K
26,Private,202031,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,3834,0,40,United-States,<=50K
34,Private,80782,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
66,?,116953,Some-college,10,Widowed,?,Not-in-family,Black,Female,0,0,23,United-States,<=50K
24,Private,283025,11th,7,Never-married,Sales,Own-child,White,Male,3,0,11,United-States,<=50K
33,Private,104453,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,3505,0,40,United-States,<=50K
48,Private,205175,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
71,Local-gov,145492,5th-6th,4,Married-civ-spouse,Protective-serv,Husband,Black,Male,1,0,40,United-States,<=50K
55,Private,207406,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,1,0,40,United-States,<=50K
69,?,149079,HS-grad,4,Married-civ-spouse,?,Husband,White,Male,2,0,40,United-States,<=50K
31,Self-emp-not-inc,119760,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,1,57,United-States,<=50K
18,Private,289247,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,33,United-States,<=50K
55,Private,195293,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1967,40,United-States,>50K
33,Local-gov,88846,11th,7,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
23,Private,171591,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
70,Private,102575,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,293132,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,2,0,40,United-States,<=50K
26,Private,167176,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,3,0,40,United-States,<=50K
18,Private,108544,Some-college,10,Never-married,Other-service,Own-child,White,Female,1,0,34,United-States,<=50K
30,Local-gov,102488,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,128560,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,1,0,49,United-States,<=50K
34,Private,116750,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,109239,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,184058,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,2,0,50,United-States,>50K
49,Private,254380,HS-grad,9,Divorced,Sales,Unmarried,White,Female,2,0,49,United-States,<=50K
30,Private,162772,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,49,United-States,>50K
34,Private,148784,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,202817,11th,7,Never-married,Other-service,Own-child,Black,Female,1,0,40,United-States,<=50K
36,Private,88804,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,40,United-States,>50K
29,Private,201576,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,1,0,40,United-States,<=50K
21,Private,126450,Assoc-voc,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,2,0,40,United-States,<=50K
24,Private,307399,Some-college,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
46,Private,174592,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1,40,United-States,<=50K
40,Private,192296,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,<=50K
27,Private,91957,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,129183,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,<=50K
23,?,248722,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,136852,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,283231,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,50,United-States,>50K
22,Private,282918,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,33,United-States,<=50K
32,Private,76558,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,1,0,40,United-States,<=50K
34,Private,260362,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,190749,5th-6th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,40,United-States,<=50K
44,Private,148269,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,2,0,40,United-States,<=50K
51,Private,246441,11th,4,Never-married,Other-service,Unmarried,Black,Female,0,0,9,United-States,<=50K
35,Private,136691,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,3,0,60,United-States,<=50K
61,Self-emp-not-inc,114822,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,40,United-States,>50K
38,Private,116948,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1,40,United-States,<=50K
32,Private,68530,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,3,0,50,United-States,>50K
33,Private,211847,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,211730,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,108075,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3,0,40,United-States,>50K
51,Private,253872,Some-college,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1946,40,United-States,<=50K
59,Private,124431,11th,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,>50K
23,?,98459,HS-grad,4,Never-married,?,Own-child,White,Male,0,0,9,United-States,<=50K
48,Private,55530,Some-college,7,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
20,Private,175899,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
23,Private,287276,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,48,United-States,<=50K
66,Local-gov,247905,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,1,0,40,United-States,<=50K
46,Private,227284,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,1,40,United-States,>50K
48,Self-emp-not-inc,154590,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,57,United-States,<=50K
61,Private,94447,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,1,0,40,United-States,<=50K
50,Private,236896,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,9,0,40,United-States,<=50K
49,?,150952,HS-grad,9,Divorced,?,Not-in-family,White,Female,3646,0,40,United-States,<=50K
22,Private,231875,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,36,United-States,<=50K
32,Private,200585,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
45,Private,166598,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,2,1,53,United-States,>50K
28,Private,192279,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,105025,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,1,0,33,United-States,<=50K
39,Self-emp-not-inc,107262,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
41,Private,213624,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15117,0,40,United-States,>50K
20,Private,90357,Assoc-voc,11,Never-married,Farming-fishing,Own-child,White,Male,0,0,19,United-States,<=50K
48,Private,210449,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,4,0,40,United-States,>50K
49,Self-emp-inc,85527,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1882,40,United-States,>50K
36,Self-emp-not-inc,106567,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,186595,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,<=50K
47,Private,228245,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
41,Private,162993,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,40,United-States,<=50K
31,Private,167389,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
31,Private,56510,HS-grad,4,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,29,United-States,<=50K
36,Self-emp-not-inc,126361,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
58,Private,107506,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,>50K
70,?,89637,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,198243,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,14934,1,40,United-States,>50K
21,Private,240558,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,4,0,40,United-States,<=50K
23,Private,357330,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,0,40,United-States,<=50K
56,Self-emp-not-inc,217153,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,113837,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K
63,Private,199867,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
25,Private,110003,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Female,3,0,40,United-States,<=50K
30,?,149205,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,1,0,40,United-States,<=50K
39,Self-emp-not-inc,129523,5th-6th,11,Married-civ-spouse,Other-service,Husband,White,Male,2,0,40,United-States,<=50K
31,Private,96743,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,<=50K
35,Private,199394,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,2995,0,40,United-States,<=50K
48,Self-emp-inc,71817,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,>50K
26,Private,361963,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,1714,40,United-States,<=50K
43,Self-emp-not-inc,137923,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,1,0,66,United-States,>50K
58,Private,119095,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,167195,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
22,Self-emp-not-inc,121921,10th,5,Never-married,Farming-fishing,Own-child,White,Male,0,0,37,United-States,<=50K
46,Private,216102,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,>50K
26,Private,198739,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,40,United-States,<=50K
32,Private,97881,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,<=50K
63,Local-gov,115101,Some-college,10,Separated,Prof-specialty,Not-in-family,White,Female,1,0,40,United-States,<=50K
36,Private,183457,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Male,1,0,40,United-States,<=50K
44,Private,324355,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,>50K
23,Private,111288,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Female,1,0,40,United-States,<=50K
30,Private,179903,9th,5,Never-married,Machine-op-inspct,Own-child,White,Male,11,0,40,United-States,<=50K
46,Self-emp-not-inc,84954,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,40,United-States,>50K
32,Private,83230,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
36,Private,102156,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,<=50K
53,Private,97204,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,1,0,40,United-States,>50K
47,Private,82653,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
29,Private,93856,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
48,Private,326664,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,>50K
24,Private,95721,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,204150,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States,<=50K
47,Private,253702,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,40,United-States,>50K
50,Private,231684,HS-grad,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
74,?,175534,HS-grad,4,Married-civ-spouse,?,Husband,White,Male,2,1,40,United-States,<=50K
38,Private,129026,HS-grad,9,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,10,0,40,Vietnam,<=50K
36,Private,170257,Some-college,10,Never-married,Sales,Not-in-family,White,Male,1,0,40,United-States,<=50K
49,Self-emp-not-inc,64570,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,200571,HS-grad,4,Widowed,Machine-op-inspct,Not-in-family,Black,Female,2,0,40,United-States,<=50K
38,Private,114778,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,?,112921,Some-college,10,Married-civ-spouse,?,Husband,White,Male,7667,0,40,United-States,>50K
35,Private,82941,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,50,United-States,<=50K
27,Private,223873,11th,7,Never-married,Adm-clerical,Unmarried,Black,Female,21,0,40,United-States,<=50K
29,Private,130176,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,154114,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
38,Private,193317,10th,6,Separated,Adm-clerical,Not-in-family,White,Female,3769,0,40,United-States,<=50K
52,Private,135473,Prof-school,15,Separated,Prof-specialty,Not-in-family,Black,Female,4168,0,40,United-States,>50K
33,Private,243096,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,272624,Masters,13,Never-married,Farming-fishing,Own-child,White,Male,3,0,40,United-States,<=50K
40,Self-emp-not-inc,173378,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,65,United-States,>50K
30,Self-emp-inc,95020,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,61,United-States,<=50K
35,Private,126271,5th-6th,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
50,Self-emp-not-inc,95025,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3,0,40,United-States,<=50K
49,Self-emp-not-inc,219512,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,40,United-States,>50K
25,Private,134060,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,275914,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
